review_decision,candidate_id,category,rank,candidate_brand,candidate_name,candidate_tokens,candidate_external_type,candidate_external_id,candidate_source_url,matched_product_id,matched_brand,matched_name,matched_category,matched_tokens,overlap_tokens,similarity,match_rule,override_decision,review_note
duplicate_candidate,74971,moisturizer_lotion_emulsion,1,일리윤,세라마이드 아토 로션 564ml (2입),세라마이드 | 아토,goods,74971,https://www.hwahae.co.kr/goods/74971,37f18d02-adfd-4c72-b267-8e8facb1c5d1,일리윤,세라마이드 아토 로션,moisturizer_lotion_emulsion,세라마이드 | 아토,세라마이드 | 아토,1.0,same_category_same_brand_token_overlap,,
new_candidate,74200,moisturizer_lotion_emulsion,2,아토팜,MLE 로션 300ml+300ml,mle,goods,74200,https://www.hwahae.co.kr/goods/74200,,,,,,,,no_match,,
duplicate_candidate,72340,moisturizer_lotion_emulsion,3,에스트라,[only화해] 아토베리어365 로션 150ml기획(본품+에센스25ml+샤쉐6매),150ml기획 | 아토베리어365,goods,72340,https://www.hwahae.co.kr/goods/72340,2d52e270-0429-4c5f-89dd-5c608b92fe8c,에스트라,아토베리어365 로션,moisturizer_lotion_emulsion,아토베리어365,아토베리어365,0.7407,same_category_same_brand_token_overlap,,
new_candidate,74198,moisturizer_lotion_emulsion,4,아토팜,수딩 젤 로션 160ml+160ml,,goods,74198,https://www.hwahae.co.kr/goods/74198,,,,,,,,no_match,,
new_candidate,34727,moisturizer_lotion_emulsion,5,싸이닉,더 심플 데일리 로션 대용량 260ml (2개),데일리 | 심플,goods,34727,https://www.hwahae.co.kr/goods/34727,,,,,,,,no_match,,
duplicate_candidate,4188,moisturizer_lotion_emulsion,6,라운드랩,1025 독도 로션 200ml,독도,goods,4188,https://www.hwahae.co.kr/goods/4188,2ab9955d-9e7f-41fc-9751-9e313d50e492,라운드랩,1025 독도 로션,moisturizer_lotion_emulsion,독도,독도,1.0,same_category_same_brand_token_overlap,,
new_candidate,2178508,moisturizer_lotion_emulsion,7,레스케미,갈락토미세스 더마로션,갈락토미세스 | 더마로션,products,2178508,https://www.hwahae.co.kr/products/2178508,,,,,,,,no_match,,
new_candidate,77109,moisturizer_lotion_emulsion,8,코스노리,[only화해] 판테놀 베리어 에멀전 150ml 더블기획(+판테놀 앰플 30ml 증정),베리어 | 에멀전,goods,77109,https://www.hwahae.co.kr/goods/77109,,,,,,,,no_match,,
new_candidate,62643,moisturizer_lotion_emulsion,9,온그리디언츠,[투명도2배] 스킨 베리어 카밍 로션 EX 220ml,베리어 | 카밍,goods,62643,https://www.hwahae.co.kr/goods/62643,,,,,,,,no_match,,
new_candidate,75403,moisturizer_lotion_emulsion,10,라운드랩,[only화해] 소나무 진정 시카 로션 250ml 기획 (+앰플15ml+마스크1매),소나무,goods,75403,https://www.hwahae.co.kr/goods/75403,,,,,,,,no_match,,
duplicate_candidate,2179529,moisturizer_lotion_emulsion,11,러베,5중 세라마이드 로션,5중 | 세라마이드,products,2179529,https://www.hwahae.co.kr/products/2179529,37f18d02-adfd-4c72-b267-8e8facb1c5d1,일리윤,세라마이드 아토 로션,moisturizer_lotion_emulsion,세라마이드 | 아토,세라마이드,0.7778,same_category_high_name_similarity,,
new_candidate,2158011,moisturizer_lotion_emulsion,12,브링그린,블루빈 B5-PDRN 마일드 로션,b5 | pdrn | 마일드 | 블루빈,products,2158011,https://www.hwahae.co.kr/products/2158011,,,,,,,,no_match,,
new_candidate,73272,moisturizer_lotion_emulsion,13,더마비,세라엠디 리페어 로션 400ml (2개) + 랜덤 바디로션 20ml (2개),랜덤 | 리페어 | 바디로션 | 세라엠디,goods,73272,https://www.hwahae.co.kr/goods/73272,,,,,,,,no_match,,
new_candidate,1980180,moisturizer_lotion_emulsion,14,세타필,모이스춰라이징 로션,모이스춰라이징,products,1980180,https://www.hwahae.co.kr/products/1980180,,,,,,,,no_match,,
duplicate_candidate,1747514,moisturizer_lotion_emulsion,15,피지오겔,DMT 페이셜 로션,dmt | 페이셜,products,1747514,https://www.hwahae.co.kr/products/1747514,ef252acf-cfe2-4b2b-a223-80064be88e52,피지오겔,DMT 페이셜 로션,moisturizer_lotion_emulsion,dmt | 페이셜,dmt | 페이셜,1.0,same_category_same_brand_token_overlap,,
new_candidate,71802,moisturizer_lotion_emulsion,16,퓨어솜,서양송악 순수 로션 450ml,서양송악 | 순수,goods,71802,https://www.hwahae.co.kr/goods/71802,,,,,,,,no_match,,
new_candidate,33374,moisturizer_lotion_emulsion,17,YBK,세라마이드 릴리프 하이드레이션 에멀젼 120ml,릴리프 | 세라마이드 | 에멀젼 | 하이드레이션,goods,33374,https://www.hwahae.co.kr/goods/33374,,,,,,,,no_match,,
new_candidate,6129,moisturizer_lotion_emulsion,18,시드물,울트라 페이셜 모이스처라이징 로션 80g,모이스처라이징 | 울트라 | 페이셜,goods,6129,https://www.hwahae.co.kr/goods/6129,,,,,,,,no_match,,
new_candidate,1818570,moisturizer_lotion_emulsion,19,제로이드,수딩 로션,,products,1818570,https://www.hwahae.co.kr/products/1818570,,,,,,,,no_match,,
new_candidate,74208,moisturizer_lotion_emulsion,20,아토팜,판테놀 로션 180ml+180ml,,goods,74208,https://www.hwahae.co.kr/goods/74208,,,,,,,,no_match,,
