review_decision,candidate_id,category,rank,candidate_brand,candidate_name,candidate_tokens,candidate_external_type,candidate_external_id,candidate_source_url,matched_product_id,matched_brand,matched_name,matched_category,matched_tokens,overlap_tokens,similarity,match_rule,override_decision,review_note
new_candidate,60898,treatment,1,파티온,[only화해] 노스카나인 트러블 세럼 20ml 더블기획,노스카나인 | 트러블,goods,60898,https://www.hwahae.co.kr/goods/60898,,,,,,,,no_match,,
new_candidate,69389,treatment,2,셀라딕스,[only화해] 트러블 세범 리밸런싱 131앰플 더블기획(30ml*2+수분크림1ml*10),131앰플 | 리밸런싱 | 세범 | 트러블,goods,69389,https://www.hwahae.co.kr/goods/69389,,,,,,,,no_match,,
new_candidate,78588,treatment,3,더마토리,나이아샷 플러스 IPMP 트러블 블랙 세럼 30ml,ipmp | 나이아샷 | 블랙 | 트러블 | 플러스,goods,78588,https://www.hwahae.co.kr/goods/78588,,,,,,,,no_match,,
new_candidate,59306,treatment,4,웰라쥬,리얼 시카 카밍 95 트러블 앰플 50ml (2개입),리얼 | 카밍 | 트러블,goods,59306,https://www.hwahae.co.kr/goods/59306,,,,,,,,no_match,,
new_candidate,61936,treatment,5,넘버즈인,1번 판토텐산 액티브업 수딩세럼 50ml,1번 | 수딩세럼 | 액티브업 | 판토텐산,goods,61936,https://www.hwahae.co.kr/goods/61936,,,,,,,,no_match,,
new_candidate,72925,treatment,6,토리든,[only화해] 밸런스풀 시카 컨트롤 세럼 50ml 기획 (+토너 50ml),밸런스풀 | 컨트롤,goods,72925,https://www.hwahae.co.kr/goods/72925,,,,,,,,no_match,,
new_candidate,2044911,treatment,7,브링그린,징크테카 트러블 세럼,징크테카 | 트러블,products,2044911,https://www.hwahae.co.kr/products/2044911,,,,,,,,no_match,,
new_candidate,15439,treatment,8,디어클레어스,미드나잇 블루 유스 액티베이팅 드롭 20ml,드롭 | 미드나잇 | 블루 | 액티베이팅 | 유스,goods,15439,https://www.hwahae.co.kr/goods/15439,,,,,,,,no_match,,
new_candidate,72025,treatment,9,더마펌,펩트올로지 부스팅 앰플 레티노이드 30ml,레티노이드 | 부스팅 | 펩트올로지,goods,72025,https://www.hwahae.co.kr/goods/72025,,,,,,,,no_match,,
new_candidate,25135,treatment,10,스킨푸드,판토테닉 워터파슬리 사일런스 에센스 기획  70ml+30ml (+증정 앰플 14ml*2),사일런스 | 워터파슬리 | 판토테닉,goods,25135,https://www.hwahae.co.kr/goods/25135,,,,,,,,no_match,,
new_candidate,2032189,treatment,11,에스트라,테라크네365 액티브 세럼,액티브 | 테라크네365,products,2032189,https://www.hwahae.co.kr/products/2032189,,,,,,,,no_match,,
new_candidate,2153043,treatment,12,주미소,D-판테놀 베리어 수딩 세럼,베리어,products,2153043,https://www.hwahae.co.kr/products/2153043,,,,,,,,no_match,,
new_candidate,32979,treatment,13,아이소이,아크니 닥터 1st 컨트롤 세럼 40ml(+여드름패치1매),1st | 닥터 | 아크니 | 컨트롤,goods,32979,https://www.hwahae.co.kr/goods/32979,,,,,,,,no_match,,
new_candidate,2000690,treatment,14,퍼셀,20억/mL 픽셀바이옴™ 원액,20억 | 원액 | 픽셀바이옴,products,2000690,https://www.hwahae.co.kr/products/2000690,,,,,,,,no_match,,
new_candidate,6878,treatment,15,앰플엔,아크네샷 여드름 앰플 30ml,아크네샷 | 여드름,goods,6878,https://www.hwahae.co.kr/goods/6878,,,,,,,,no_match,,
new_candidate,93,treatment,16,아이소이,아크니 닥터 1st 스피디 스팟(응급스팟) 14ml(+여드름패치1매),1st | 닥터 | 스팟 | 스피디 | 아크니,goods,93,https://www.hwahae.co.kr/goods/93,,,,,,,,no_match,,
new_candidate,75667,treatment,17,닥터지,(1+1) 에이클리어 스팟 포 페이스 세럼 45mL,스팟 | 에이클리어 | 페이스,goods,75667,https://www.hwahae.co.kr/goods/75667,,,,,,,,no_match,,
new_candidate,3104,treatment,18,DMCK,클린 아크 앰플 10ml*5ea,아크 | 클린,goods,3104,https://www.hwahae.co.kr/goods/3104,,,,,,,,no_match,,
new_candidate,59500,treatment,19,비레디,시카페인 트러블 리셋 세럼 40ml,리셋 | 시카페인 | 트러블,goods,59500,https://www.hwahae.co.kr/goods/59500,,,,,,,,no_match,,
new_candidate,2137654,treatment,20,바이오더마,세비엄 세럼,세비엄,products,2137654,https://www.hwahae.co.kr/products/2137654,,,,,,,,no_match,,
