column_name,data_type,udt_name
id,uuid,uuid
name,text,text
brand,text,text
category,USER-DEFINED,product_category
price_min,integer,int4
price_max,integer,int4
buy_link,text,text
image_url,text,text
created_at,timestamp with time zone,timestamptz
skin_types,ARRAY,_text
concerns,ARRAY,_text
texture,USER-DEFINED,product_texture
finish,USER-DEFINED,product_finish
irritation_risk,text,text
sensitivity_safe,boolean,bool
normalized_name,text,text
normalized_brand,text,text
updated_at,timestamp with time zone,timestamptz
is_mens,boolean,bool
recommendation_tier,text,text
size_ml,numeric,numeric
unit_price_per_10ml,numeric,numeric
cleansing_profile,text,text
uv_filter_type,text,text
spf_value,text,text
uva_label,text,text
water_resistant_minutes,integer,int4
white_cast,text,text
eye_sting,text,text
pilling_risk,text,text
tone_up,boolean,bool
review_signals,jsonb,jsonb
hwahae_url,text,text
market_signals,jsonb,jsonb
ingredient_signals,jsonb,jsonb
external_source,text,text
external_type,text,text
external_id,text,text
source_url,text,text
