id,name,brand,category,price_min,price_max,buy_link,image_url,created_at,skin_types,concerns,texture,finish,irritation_risk,sensitivity_safe,normalized_name,normalized_brand,updated_at,is_mens,recommendation_tier,size_ml,unit_price_per_10ml,cleansing_profile,uv_filter_type,spf_value,uva_label,water_resistant_minutes,white_cast,eye_sting,pilling_risk,tone_up,review_signals,hwahae_url,market_signals,ingredient_signals,external_source,external_type,external_id,source_url,balm_functional_tags,balm_usage_scope,balm_type,is_primary_moisturizer,balm_caution_tags,balm_research_confidence
3fe73499-c2a9-4ee5-b4b5-6a60e07c6686,포스트케어 밤,디에이이펙트,moisturizer_balm,59000,59000,,,2026-06-09 16:26:00.661154+09,"[""dry"",""combination""]","[""barrier"",""dehydration"",""uneven_tone""]",cream,natural,medium,false,포스트케어밤,디에이이펙트,2026-06-09 17:11:23.457355+09,false,Tier1,30,19666.67,,,,,,,,,false,"{""hwahae_rank"": 9, ""review_policy"": ""reviews_are_used_for_usage_risk_not_claim_confirmation"", ""hwahae_concern"": ""all"", ""hwahae_category"": ""moisturizer_balm""}",https://www.hwahae.co.kr/products/2161078,"{""evidence_urls"": [""https://daeffect.com/product/포스트케어-밤-30ml/78/"", ""https://www.hwahae.co.kr/products/2161078""], ""candidate_name"": ""포스트케어 밤"", ""candidate_price"": 59000, ""matching_policy"": ""official_or_major_merchant_first; uncertain functional claims kept in balm_* columns"", ""candidate_size_note"": ""size parsed from candidate name or checked public product pages"", ""future_category_candidate"": ""balm""}","{""basis"": ""public_product_copy_and_known_positioning"", ""key_terms"": [""post_care"", ""barrier"", ""dual_functional""]}",hwahae,products,2161078,https://www.hwahae.co.kr/products/2161078,"[""post_procedure"",""barrier_repair"",""wrinkle_care""]",full_face,post_care,false,"[""not_primary_moisturizer"",""daytime_caution"",""oily_skin_caution"",""acne_prone_caution""]",high
e15a1f7e-29b3-49fd-aae4-297bf9ada4ed,판테토인 인리치드 밤,마녀공장,moisturizer_balm,51000,51000,,,2026-06-09 16:26:00.661154+09,"[""dry"",""sensitive""]","[""barrier"",""dehydration""]",cream,dewy,low,true,판테토인인리치드밤,마녀공장,2026-06-09 17:11:21.784031+09,false,Tier1,80,6375,,,,,,,,,false,"{""hwahae_rank"": 20, ""review_policy"": ""reviews_are_used_for_usage_risk_not_claim_confirmation"", ""hwahae_concern"": ""all"", ""hwahae_category"": ""moisturizer_balm""}",https://www.hwahae.co.kr/products/2017979,"{""evidence_urls"": [""https://m.manyo.co.kr/goods/goods_view.php?goodsNo=1905"", ""https://prod.danawa.com/info/?pcode=18512717""], ""candidate_name"": ""판테토인 인리치드 밤"", ""candidate_price"": 51000, ""matching_policy"": ""official_or_major_merchant_first; uncertain functional claims kept in balm_* columns"", ""candidate_size_note"": ""size parsed from candidate name or checked public product pages"", ""future_category_candidate"": ""balm""}","{""basis"": ""public_product_copy_and_known_positioning"", ""key_terms"": [""panthenol"", ""barrier"", ""enriched_balm""]}",hwahae,products,2017979,https://www.hwahae.co.kr/products/2017979,"[""barrier_repair"",""deep_occlusive""]",full_face,barrier,true,"[""oily_skin_caution"",""acne_prone_caution"",""heavy_finish"",""daytime_caution""]",medium
36b7d8f7-eb23-4fdb-a510-99ad4b64eb0e,콜라겐 탄력 앰플스틱,싸이닉,moisturizer_balm,22000,22000,,,2026-06-09 16:26:00.661154+09,"[""dry"",""combination""]","[""dehydration""]",cream,dewy,medium,false,콜라겐탄력앰플스틱,싸이닉,2026-06-09 17:11:20.417038+09,false,Tier1,,,,,,,,,,,false,"{""hwahae_rank"": 16, ""review_policy"": ""reviews_are_used_for_usage_risk_not_claim_confirmation"", ""hwahae_concern"": ""all"", ""hwahae_category"": ""moisturizer_balm""}",https://www.hwahae.co.kr/products/1970475,"{""size_g"": 10, ""evidence_urls"": [""https://scinic.com/product/싸이닉-콜라겐-앰플-스틱-10g/19/"", ""https://www.lfmall.co.kr/app/product/M493XX00158""], ""candidate_name"": ""콜라겐 탄력 앰플스틱"", ""candidate_price"": 22000, ""matching_policy"": ""official_or_major_merchant_first; uncertain functional claims kept in balm_* columns"", ""unit_price_per_10g"": 22000.0, ""candidate_size_note"": ""size parsed from candidate name or checked public product pages"", ""future_category_candidate"": ""balm""}","{""basis"": ""public_product_copy_and_known_positioning"", ""key_terms"": [""collagen"", ""firming_stick""]}",hwahae,products,1970475,https://www.hwahae.co.kr/products/1970475,"[""wrinkle_care"",""firming"",""local_protection""]",local_area,wrinkle_firming,false,"[""not_primary_moisturizer"",""oily_skin_caution"",""acne_prone_caution"",""makeup_pilling_caution""]",high
7a98b5e7-2c1f-441a-afee-dd1c592d95bc,인텐시브 SOS 플러스 밤,제로이드,moisturizer_balm,24000,24000,,,2026-06-09 16:26:00.661154+09,"[""dry"",""sensitive""]","[""barrier"",""dehydration"",""redness""]",cream,dewy,low,true,인텐시브sos플러스밤,제로이드,2026-06-09 17:11:17.931667+09,false,Tier1,40,6000,,,,,,,,,false,"{""hwahae_rank"": 10, ""review_policy"": ""reviews_are_used_for_usage_risk_not_claim_confirmation"", ""hwahae_concern"": ""all"", ""hwahae_category"": ""moisturizer_balm""}",https://www.hwahae.co.kr/products/2097713,"{""evidence_urls"": [""https://www.zeroid.co.kr/web/product/product_detail.asp?cate=307&idx=365"", ""https://www.coupang.com/vp/products/8051934856""], ""candidate_name"": ""인텐시브 SOS 플러스 밤"", ""candidate_price"": 24000, ""matching_policy"": ""official_or_major_merchant_first; uncertain functional claims kept in balm_* columns"", ""candidate_size_note"": ""size parsed from candidate name or checked public product pages"", ""future_category_candidate"": ""balm""}","{""basis"": ""public_product_copy_and_known_positioning"", ""key_terms"": [""panthenol"", ""allantoin"", ""ceramide"", ""hyaluronic_acid""]}",hwahae,products,2097713,https://www.hwahae.co.kr/products/2097713,"[""barrier_repair"",""deep_occlusive"",""local_protection""]",full_face,barrier,true,"[""daytime_caution"",""oily_skin_caution"",""acne_prone_caution"",""heavy_finish""]",high
4c7af697-1413-4b7d-a89e-6edd2bd5f40c,울트라 훼이셜 베리어 스틱 밤,키엘,moisturizer_balm,42000,42000,,,2026-06-09 16:26:00.661154+09,"[""dry"",""combination""]","[""barrier"",""dehydration""]",cream,natural,medium,false,울트라훼이셜베리어스틱밤,키엘,2026-06-09 17:11:16.589952+09,false,Tier1,,,,,,,,,,,false,"{""hwahae_rank"": 12, ""review_policy"": ""reviews_are_used_for_usage_risk_not_claim_confirmation"", ""hwahae_concern"": ""all"", ""hwahae_category"": ""moisturizer_balm""}",https://www.hwahae.co.kr/products/2085392,"{""size_g"": 9, ""evidence_urls"": [""https://www.kiehls.co.kr/kr/home"", ""https://www.kurly.com/goods/1000356896""], ""candidate_name"": ""울트라 훼이셜 베리어 스틱 밤"", ""candidate_price"": 42000, ""matching_policy"": ""official_or_major_merchant_first; uncertain functional claims kept in balm_* columns"", ""unit_price_per_10g"": 46666.67, ""candidate_size_note"": ""size parsed from candidate name or checked public product pages"", ""future_category_candidate"": ""balm""}","{""basis"": ""public_product_copy_and_known_positioning"", ""key_terms"": [""barrier_stick"", ""local_moisture""]}",hwahae,products,2085392,https://www.hwahae.co.kr/products/2085392,"[""barrier_repair"",""local_protection""]",local_area,multi_stick,false,"[""not_primary_moisturizer"",""oily_skin_caution"",""acne_prone_caution"",""makeup_pilling_caution""]",medium
3e8c269e-17d8-47ec-a51d-9eada96461f4,엑소밤-SR2,에이에스씨이플러스,moisturizer_balm,83800,83800,,,2026-06-09 16:26:00.661154+09,"[""dry"",""combination""]","[""dehydration""]",cream,dewy,medium,false,엑소밤sr2,에이에스씨이플러스,2026-06-09 17:11:15.149999+09,false,Tier1,20,41900,,,,,,,,,false,"{""hwahae_rank"": 2, ""review_policy"": ""reviews_are_used_for_usage_risk_not_claim_confirmation"", ""hwahae_concern"": ""all"", ""hwahae_category"": ""moisturizer_balm""}",https://www.hwahae.co.kr/products/2194906,"{""evidence_urls"": [""https://www.hwahae.co.kr/products/2194906"", ""https://asceplushomecare.co.kr/""], ""candidate_name"": ""엑소밤-SR2"", ""candidate_price"": 83800, ""matching_policy"": ""official_or_major_merchant_first; uncertain functional claims kept in balm_* columns"", ""candidate_size_note"": ""size parsed from candidate name or checked public product pages"", ""future_category_candidate"": ""balm""}","{""basis"": ""public_product_copy_and_known_positioning"", ""key_terms"": [""rose_exosome"", ""night_care""]}",hwahae,products,2194906,https://www.hwahae.co.kr/products/2194906,"[""wrinkle_care"",""firming""]",full_face,wrinkle_firming,false,"[""not_primary_moisturizer"",""daytime_caution"",""oily_skin_caution"",""acne_prone_caution""]",high
8c2c12e7-2fa6-4230-bee6-958a4dc9dc97,에코 멀티 밤,시드물,moisturizer_balm,6300,6300,,,2026-06-09 16:26:00.661154+09,"[""dry"",""sensitive""]","[""dehydration""]",cream,dewy,medium,false,에코멀티밤,시드물,2026-06-09 17:11:12.790121+09,false,Tier1,,,,,,,,,,,false,"{""hwahae_rank"": 13, ""review_policy"": ""reviews_are_used_for_usage_risk_not_claim_confirmation"", ""hwahae_concern"": ""all"", ""hwahae_category"": ""moisturizer_balm""}",https://www.hwahae.co.kr/products/1805694,"{""size_g"": 4, ""evidence_urls"": [""https://www.sidmool.com/shop/shopdetail.html?branduid=76929"", ""https://www.hwahae.co.kr/products/1805694""], ""candidate_name"": ""에코 멀티 밤"", ""candidate_price"": 6300, ""matching_policy"": ""official_or_major_merchant_first; uncertain functional claims kept in balm_* columns"", ""unit_price_per_10g"": 15750.0, ""candidate_size_note"": ""size parsed from candidate name or checked public product pages"", ""future_category_candidate"": ""balm""}","{""basis"": ""public_product_copy_and_known_positioning"", ""key_terms"": [""multi_balm"", ""lip_body_cuticle""]}",hwahae,products,1805694,https://www.hwahae.co.kr/products/1805694,"[""local_protection"",""deep_occlusive""]",multi_area,multi_stick,false,"[""not_primary_moisturizer"",""oily_skin_caution"",""acne_prone_caution"",""heavy_finish""]",low
49a483f3-9232-4b58-a91b-ddb5ea2f973e,안티퍼티그 아이 컨투어 스틱,라로제,moisturizer_balm,44000,44000,,,2026-06-09 16:26:00.661154+09,"[""dry"",""combination""]","[""dehydration""]",cream,natural,medium,false,안티퍼티그아이컨투어스틱,라로제,2026-06-09 17:11:06.60106+09,false,Tier1,15,29333.33,,,,,,,,,false,"{""hwahae_rank"": 11, ""review_policy"": ""reviews_are_used_for_usage_risk_not_claim_confirmation"", ""hwahae_concern"": ""all"", ""hwahae_category"": ""moisturizer_balm""}",https://www.hwahae.co.kr/products/2040220,"{""evidence_urls"": [""https://larosee.co.kr/shop_view/?idx=27""], ""candidate_name"": ""안티퍼티그 아이 컨투어 스틱"", ""candidate_price"": 44000, ""matching_policy"": ""official_or_major_merchant_first; uncertain functional claims kept in balm_* columns"", ""candidate_size_note"": ""size parsed from candidate name or checked public product pages"", ""future_category_candidate"": ""balm""}","{""basis"": ""public_product_copy_and_known_positioning"", ""key_terms"": [""eye_contour"", ""cooling"", ""local_hydration""]}",hwahae,products,2040220,https://www.hwahae.co.kr/products/2040220,"[""eye_care"",""local_protection""]",eye_lip,eye_lip,false,"[""eye_area_only"",""not_primary_moisturizer""]",high
c67266dd-3706-4929-9196-936d1f61cbc5,"시카플라스트 밤 B5+ ",라로슈포제,moisturizer_balm,41000,41000,,,2026-06-09 16:26:00.661154+09,"[""dry"",""combination"",""sensitive""]","[""barrier"",""dehydration"",""redness""]",cream,natural,low,true,시카플라스트밤b5,라로슈포제,2026-06-09 17:11:04.718158+09,false,Tier1,100,4100,,,,,,,,,false,"{""hwahae_rank"": 1, ""review_policy"": ""reviews_are_used_for_usage_risk_not_claim_confirmation"", ""hwahae_concern"": ""all"", ""hwahae_category"": ""moisturizer_balm""}",https://www.hwahae.co.kr/products/2010052,"{""evidence_urls"": [""https://www.larocheposay.co.kr/product/view/4247.do"", ""https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000174016""], ""candidate_name"": ""시카플라스트 밤 B5+"", ""candidate_price"": 41000, ""matching_policy"": ""official_or_major_merchant_first; uncertain functional claims kept in balm_* columns"", ""candidate_size_note"": ""size parsed from candidate name or checked public product pages"", ""future_category_candidate"": ""balm""}","{""basis"": ""public_product_copy_and_known_positioning"", ""key_terms"": [""panthenol"", ""madecassoside"", ""barrier_support""]}",hwahae,products,2010052,https://www.hwahae.co.kr/products/2010052,"[""barrier_repair"",""cica_repair"",""local_protection""]",full_face,cica_repair,true,"[""oily_skin_caution"",""acne_prone_caution"",""daytime_caution""]",high
06d1ad4b-2291-4b73-8bf4-f1f3c0226fea,시카이드 밤,더하르나이,moisturizer_balm,29000,29000,,,2026-06-09 16:26:00.661154+09,"[""dry"",""sensitive""]","[""barrier"",""dehydration"",""redness""]",cream,natural,low,true,시카이드밤,더하르나이,2026-06-09 17:11:02.567191+09,false,Tier1,100,2900,,,,,,,,,false,"{""hwahae_rank"": 14, ""review_policy"": ""reviews_are_used_for_usage_risk_not_claim_confirmation"", ""hwahae_concern"": ""all"", ""hwahae_category"": ""moisturizer_balm""}",https://www.hwahae.co.kr/products/2025176,"{""evidence_urls"": [""https://theharnay.co.kr/category/시카이드/24/"", ""https://www.oliveyoung.co.kr/store/G.do?goodsNo=A000000212725""], ""candidate_name"": ""시카이드 밤"", ""candidate_price"": 29000, ""matching_policy"": ""official_or_major_merchant_first; uncertain functional claims kept in balm_* columns"", ""candidate_size_note"": ""size parsed from candidate name or checked public product pages"", ""future_category_candidate"": ""balm""}","{""basis"": ""public_product_copy_and_known_positioning"", ""key_terms"": [""cica"", ""barrier"", ""low_irritation""]}",hwahae,products,2025176,https://www.hwahae.co.kr/products/2025176,"[""cica_repair"",""barrier_repair"",""local_protection""]",full_face,cica_repair,true,"[""oily_skin_caution"",""acne_prone_caution"",""daytime_caution""]",medium
