scenario,category,policy,product_id,legacy_rank,candidate_rank,rank_delta,legacy_score,candidate_score,score_delta,eligibility_changed,penalty_changed,top_pick_changed,top3_changed,metadata_unknown,metadata_invalid
U1,cleanser,cleanser_structured_authority,0def9373-087e-4998-8ef1-7f4cbdac40e4,1,1,0,71.2,71.2,0,false,false,false,false,false,false
U1,cleanser,cleanser_structured_authority,cd3b66be-cddc-47e1-906f-a871dea84412,2,2,0,66.8,66.8,0,false,false,false,false,false,false
U1,cleanser,cleanser_structured_authority,9d47de96-3227-494b-a8aa-2a4a3b7959d8,3,3,0,64.9,64.9,0,false,false,false,false,false,false
U1,cleanser,cleanser_structured_authority,cb04b777-9a57-4246-9431-3018638354db,4,4,0,62.6,62.6,0,false,false,false,false,false,false
U1,cleanser,cleanser_structured_authority,5448b8c3-cf87-4561-a699-3baf3dcb3dab,5,5,0,55,55,0,false,false,false,false,false,false
U1,cleanser,cleanser_structured_authority,8889342d-d9a2-454b-aa27-60d4934b9978,6,6,0,54.9,54.9,0,false,false,false,false,false,false
U1,cleanser,cleanser_structured_authority,3f83bb85-cc53-4aa0-a0f0-e08535288749,7,7,0,52.2,52.2,0,false,false,false,false,false,false
U1,cleanser,cleanser_structured_authority,fbe265d2-8457-4c4f-96e2-7a08be0e5073,8,8,0,52.2,52.2,0,false,false,false,false,false,false
U1,cleanser,cleanser_structured_authority,b46ca581-7a4e-4cf1-b599-b9fdc026885d,9,9,0,51.5,51.5,0,false,false,false,false,false,false
U1,cleanser,cleanser_structured_authority,2fddc273-d7ee-4034-a399-3bfd2cfcafd4,10,10,0,51.2,51.2,0,false,false,false,false,false,false
U1,cleanser,cleanser_structured_authority,f2a697ce-43d9-4a9a-b110-1f332bc29b50,11,11,0,51.2,51.2,0,false,false,false,false,false,false
U1,cleanser,cleanser_structured_authority,63300ce0-9bb7-4ce5-98d5-5c59ae283cda,12,12,0,50.9,50.9,0,false,false,false,false,false,false
U1,cleanser,cleanser_structured_authority,0bced9fe-aa08-4982-bb4a-03fb9ed509c1,13,13,0,50.7,50.7,0,false,false,false,false,false,false
U1,cleanser,cleanser_structured_authority,009e0339-fa00-429e-a1c2-2a23eb4707f8,14,14,0,49.1,49.1,0,false,false,false,false,false,false
U1,cleanser,cleanser_structured_authority,e6c3f88c-6908-401f-83d1-a5164f1dd60a,15,15,0,48,48,0,false,false,false,false,false,false
U1,cleanser,cleanser_structured_authority,6d560546-80f1-4ccf-9d2c-34023722d2a7,16,16,0,42.2,42.2,0,false,false,false,false,false,false
U1,cleanser,cleanser_structured_authority,50d8285d-9f90-4437-9427-ecc93e9fa055,17,17,0,39.4,39.4,0,false,false,false,false,false,false
U1,cleanser,cleanser_structured_authority,d0b4789c-bc0a-46e1-8317-ce498377333e,18,18,0,38.9,38.9,0,false,false,false,false,false,false
U1,cleanser,cleanser_structured_authority,d7bb44e4-d585-41ca-8a74-04781470d1de,19,19,0,38.9,38.9,0,false,false,false,false,false,false
U1,cleanser,cleanser_structured_authority,c8f78d00-85b9-4850-b464-e8a0d815b2d8,20,20,0,38,38,0,false,false,false,false,false,false
U1,cleanser,cleanser_structured_authority,635aa0fd-aabb-495e-b68f-42b1135df544,21,21,0,37.9,37.9,0,false,false,false,false,false,false
U1,cleanser,cleanser_structured_authority,51d526de-b127-47c4-83f1-64fc1ec4aa10,22,22,0,37.5,37.5,0,false,false,false,false,false,false
U1,cleanser,cleanser_structured_authority,65a4be83-a9b7-4b1d-bd58-1b6e99cf66fc,23,23,0,21.5,21.5,0,false,false,false,false,false,false
U1,cleanser,cleanser_structured_authority,0b59cb66-ab03-4a0d-815e-7a94a5c7ae65,24,24,0,21.5,21.5,0,false,false,false,false,false,false
U1,cleanser,cleanser_structured_authority,d4f64d02-6d35-435b-8269-b6ed7cd34bad,25,25,0,21.5,21.5,0,false,false,false,false,false,false
U1,cleanser,cleanser_structured_authority,15420430-2a68-49e2-ab53-716d9c4ff45e,26,26,0,21,21,0,false,false,false,false,false,false
U1,moisturizer,balm_candidate_a,173c63a8-a40d-4d1e-acb6-a7944d66ec43,1,1,0,44.6,44.6,0,false,false,false,false,false,false
U1,moisturizer,balm_candidate_a,af70acaa-24b0-45eb-b82b-3c3b9f6d589f,2,2,0,43.4,43.4,0,false,false,false,false,false,false
U1,moisturizer,balm_candidate_a,deaacf29-585c-4e1b-a7c3-73a243e69c2e,3,3,0,42.8,42.8,0,false,false,false,false,false,false
U1,moisturizer,balm_candidate_a,9e727419-40e6-4c61-b44c-609507b7b822,4,4,0,35.4,35.4,0,false,false,false,false,false,false
U1,moisturizer,balm_candidate_a,5116d78d-0118-42b1-acc8-1ee384624725,5,5,0,34,34,0,false,false,false,false,false,false
U1,moisturizer,balm_candidate_a,b639c8b4-6a61-440e-b4db-fac7381593ff,6,6,0,33.3,33.3,0,false,false,false,false,false,false
U1,moisturizer,balm_candidate_a,47a8a197-40d4-41df-b1ed-7f85eb458a3d,7,7,0,31,31,0,false,false,false,false,false,false
U1,moisturizer,balm_candidate_a,ae72c231-3629-4272-8c16-9ca4372e3985,8,8,0,29.1,29.1,0,false,false,false,false,false,false
U1,moisturizer,balm_candidate_a,a59880f2-be88-4938-9958-254b87fd37ea,9,9,0,27.9,27.9,0,false,false,false,false,false,false
U1,moisturizer,balm_candidate_a,c7839904-2245-4a86-922c-4d59cf8df0b3,10,10,0,24.9,24.9,0,false,false,false,false,false,false
U1,moisturizer,balm_candidate_a,1eb7b437-b527-44e4-b4c2-5d56dc26d2d3,11,11,0,23.1,23.1,0,false,false,false,false,false,false
U1,moisturizer,balm_candidate_a,4cbd41f3-1357-42c6-a6c7-6df0e90d54a7,12,12,0,22.7,22.7,0,false,false,false,false,false,false
U1,moisturizer,balm_candidate_a,df3ab2f1-a4bf-46f9-aaff-df3665156b37,13,13,0,22.4,22.4,0,false,false,false,false,false,false
U1,moisturizer,balm_candidate_a,d2141a9d-3975-4d93-83f7-a4814c9c6a57,14,14,0,21.3,21.3,0,false,false,false,false,false,false
U1,moisturizer,balm_candidate_a,15b45c92-8b35-493a-8329-bc6b4ab5a53d,15,15,0,20.8,20.8,0,false,false,false,false,false,false
U1,moisturizer,balm_candidate_a,5848640c-84ca-4079-9d9e-8f3113159fe1,16,16,0,19.5,19.5,0,false,false,false,false,false,false
U1,moisturizer,balm_candidate_a,1f20944c-5a86-4748-8daf-7d57259ea6c0,17,17,0,18.3,18.3,0,false,false,false,false,false,false
U1,moisturizer,balm_candidate_a,24103bd1-c7ba-4cc9-b9b9-8129c6452232,18,18,0,17.5,17.5,0,false,false,false,false,false,false
U1,moisturizer,balm_candidate_a,3f12f933-9525-4ee1-80c5-257daf40d902,19,19,0,17.1,17.1,0,false,false,false,false,false,false
U1,moisturizer,balm_candidate_a,d0319209-502b-4c85-be54-392600ff6b23,20,20,0,17,17,0,false,false,false,false,false,false
U1,moisturizer,balm_candidate_a,d4e752ca-81bb-49bf-b74d-03d388830f47,21,21,0,17,17,0,false,false,false,false,false,false
U1,moisturizer,balm_candidate_a,de9fbe7f-e28b-4a8e-bbf6-536d3aa2a2c4,22,22,0,16.9,16.9,0,false,false,false,false,false,false
U1,moisturizer,balm_candidate_a,358bb655-d0e8-4bbf-93c0-58eea5b5d7ae,23,23,0,16.5,16.5,0,false,false,false,false,false,false
U1,moisturizer,balm_candidate_a,2ab9955d-9e7f-41fc-9751-9e313d50e492,24,24,0,14.7,14.7,0,false,false,false,false,false,false
U1,moisturizer,balm_candidate_a,e8d1bb9d-1a8b-430b-a79d-79d16b18ce5e,25,25,0,14.1,14.1,0,false,false,false,false,false,false
U1,moisturizer,balm_candidate_a,93d11022-2b8c-4a72-a3a1-9f69655b9e91,26,26,0,13.9,13.9,0,false,false,false,false,false,false
U1,moisturizer,balm_candidate_a,97deb2cc-2fae-4dbb-8253-03170e197002,27,27,0,12.6,12.6,0,false,false,false,false,false,false
U1,moisturizer,balm_candidate_a,65a4c320-4815-4488-b031-b0a06b4702ca,28,28,0,12.5,12.5,0,false,false,false,false,false,false
U1,moisturizer,balm_candidate_a,e4f25cfc-293d-47f8-8eea-70e4b0ec1c7b,29,29,0,12.4,12.4,0,false,false,false,false,false,false
U1,moisturizer,balm_candidate_a,2d52e270-0429-4c5f-89dd-5c608b92fe8c,30,30,0,12.4,12.4,0,false,false,false,false,false,false
U1,moisturizer,balm_candidate_a,37f18d02-adfd-4c72-b267-8e8facb1c5d1,31,31,0,12.4,12.4,0,false,false,false,false,false,false
U1,moisturizer,balm_candidate_a,7a58897d-bc51-47e8-ba8d-60322b5f8f3d,32,32,0,12.1,12.1,0,false,false,false,false,false,false
U1,moisturizer,balm_candidate_a,ffbaebea-2515-4c5f-8403-cd9a56830ae4,33,33,0,12.1,12.1,0,false,false,false,false,false,false
U1,moisturizer,balm_candidate_a,bd98f785-15c8-4800-af64-d39c3ad873a0,34,34,0,12.1,12.1,0,false,false,false,false,false,false
U1,moisturizer,balm_candidate_a,9a98cc54-6238-4ed6-91d0-200f5203f46c,35,35,0,12,12,0,false,false,false,false,false,false
U1,moisturizer,balm_candidate_a,615c6866-b1ea-48d3-adbe-fbe1831dc6f1,36,36,0,11.6,11.6,0,false,false,false,false,false,false
U1,moisturizer,balm_candidate_a,ef252acf-cfe2-4b2b-a223-80064be88e52,37,37,0,9.6,9.6,0,false,false,false,false,false,false
U1,moisturizer,balm_candidate_a,03f5a72b-6c9a-4487-a3a9-39d1e6afa7bb,38,38,0,6.5,6.5,0,false,false,false,false,false,false
U1,moisturizer,balm_candidate_a,c67266dd-3706-4929-9196-936d1f61cbc5,39,39,0,4.3,4.3,0,false,false,false,false,false,false
U1,moisturizer,balm_candidate_a,b1f6b527-679f-48f3-9b58-5d28ec095f2f,40,40,0,4,4,0,false,false,false,false,false,false
U1,moisturizer,balm_candidate_a,c2bb9ffd-f261-4f9b-91ed-23f6cea9ada1,41,,,1.6,1.6,0,true,false,false,false,false,false
U1,moisturizer,balm_candidate_a,fd00be48-42e4-4db5-8838-e0820f147254,42,41,-1,1,1,0,false,false,false,false,false,false
U1,moisturizer,balm_candidate_a,7a98b5e7-2c1f-441a-afee-dd1c592d95bc,43,42,-1,0.9,0.9,0,false,false,false,false,false,false
U1,moisturizer,balm_candidate_a,e15a1f7e-29b3-49fd-aae4-297bf9ada4ed,44,43,-1,0.8,0.8,0,false,false,false,false,false,false
U1,moisturizer,balm_candidate_a,418e2bc1-7d6c-4334-9058-7af7ce159c6c,45,44,-1,0.6,0.6,0,false,false,false,false,false,false
U1,moisturizer,balm_candidate_a,b72b0570-ee3f-4692-b45f-633b46ae3b64,46,,,0.4,0.4,0,true,false,false,false,false,false
